Standard Tax Suggestions Report

Status: Förslag från standardtaxor. Ej bekräftad kommun-EDP.
Total parser rows: 241
PROPOSAL: 0
REVIEW: 0
NO_SUGGESTION: 241
Warnings: 2

Details:
- NO_SUGGESTION score=0.119 | 2.1 | En- och tvåbostadshus | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.119 | 6.1.2 | Kvicksilverhaltigt avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.136 | 6.1.2 | Kvicksilver i föremål | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.124 | 6.1.2 | Oljehaltigt avfall (ej PCB) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 6.1.2 | Olja förorenad (ej PCB) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.2 | Färg-, lack-, limburkar lösning | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.142 | 6.1.2 | Färg-, lack-, limburkar lösning aerosoler | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.121 | 6.1.2 | Isocyanater | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.120 | 6.1.2 | Härdare metyl- etylketonperoxid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 6.1.2 | Härdare dibenzoylperoxid | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.126 | 6.1.2 | Färg-,lack-, limburkar vattenbaserade | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.109 | 6.1.2 | Tensida alkaliska flytande avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.127 | 6.1.2 | Rengöring/vaskmedel fast | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.109 | 6.1.2 | Alkaliska flytande avfall | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.115 | 6.1.2 | Cytotoxiska läkemedel, cytostat | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.089 | 6.1.2 | Rökdetektor med andra isotoper | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.077 | 6.1.2 | Rökdetektor med Am 241 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.111 | 6.1.2 | Batterier stav, pencell | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.102 | 6.1.2 | Batterier lithium | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.289 | 6.1.2 | Bil-, mcbatteri med bly | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.087 | 6.1.2 | Glödlampor | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.078 | 6.1.2 | Lysrör | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 6.1.2 | Elavfall, små elektronik | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.145 | 6.1.2 | El-avfall fast installation | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.103 | 6.1.2 | El-avfall kabel | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.120 | 6.1.2 | Toner, färgpatron med elektronik | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.138 | 6.1.2 | Tv, radio, skärm, skrivare utan färgpatron | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.280 | 6.1.2 | Kyl-, frysskåp, -box | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.084 | 6.1.2 | Kyl-, frysskåp, -box från verksamhet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.317 | 6.1.2 | Spis, tvätt-, diskmaskin | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.107 | 6.1.2 | Spis, tvätt-, diskmaskin från verksamhet | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 6.1.3 | Container X m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 6.1.3 | Container X m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.098 | 6.1.3 | Container X m3 | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.159 | 6.1.3 | Omklassning av felsorterad container | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.112 | 6.1.4 | Okänt farligt avfall (säkerhetsdatablad saknas) | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.117 | 6.1.4 | Ombud för rapportering av farligt avfall i Avfallsregistret | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.123 | 6.1.4 | Administrativ rapporteringsavgift till Avfallsregistret | suggested=  | Ingen tillräckligt stark kunskapsträff.
- NO_SUGGESTION score=0.111 | 6.1.4 | Ombud för registrering av El-kretsen avlämnarintyg i Hämtplatsportalen | suggested=  | Ingen tillräckligt stark kunskapsträff.

Warnings:
- Kunde inte hitta header i standardtaxeflik: Standard Avfall
- Kunde inte hitta header i standardtaxeflik: Standard Slam
